hs17,group,subgroup,description,ship type,hs92
200190,20,1,"Vegetable preparations: vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid (excluding cucumbers and gherkins)",container,200190
200210,20,2,"Vegetable preparations: tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid",container,200210
200290,20,2,"Vegetable preparations: tomatoes, (other than whole or in pieces), prepared or preserved otherwise than by vinegar or acetic acid",container,200290
200310,20,3,"Vegetable preparations: mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid",container,200310
200390,20,3,"Vegetable preparations: mushrooms and truffles, other than mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid",container,200310
200410,20,4,"Vegetable preparations: potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",refrigerated cargo,200410
200490,20,4,"Vegetable preparations: vegetables and mixtures of vegetables (excluding potatoes), prepared or preserved otherwise than by vinegar or acetic acid, frozen",refrigerated cargo,200490
200510,20,5,"Vegetable preparations: homogenised vegetables, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",container,200510
200520,20,5,"Vegetable preparations: potatoes, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",container,200520
200540,20,5,"Vegetable preparations: peas (pisum sativum), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",container,200540
200551,20,5,"Vegetable preparations: beans, shelled, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",container,200551
200559,20,5,"Vegetable preparations: beans, (not shelled), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",container,200559
200560,20,5,"Vegetable preparations: asparagus, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",container,200560
200570,20,5,"Vegetable preparations: olives, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",container,200570
200580,20,5,"Vegetable preparations: sweetcorn (zea mays var. saccharata), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",container,200580
200591,20,5,"Vegetable preparations: bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",container,200590
200599,20,5,"Vegetable preparations: vegetables and mixtures of vegetables n.e.c. in heading no. 2005, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",container,200590
200600,20,6,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",container,200600
200710,20,7,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes: homogenised, cooked preparations, whether or not containing added sugar or other sweetening matter",container,200710
200791,20,7,"Jams, jellies, marmalades, purees and pastes: of citrus fruit, being cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter",container,200791
200799,20,7,"Jams, fruit jellies, marmalades, purees and pastes: of fruit or nuts n.e.c. in heading no. 2007, cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter",container,200799
200811,20,8,"Nuts: ground-nuts, whether or not containing added sugar, other sweetening matter or spirit",container,200811
200819,20,8,"Nuts and other seeds: whether or not containing added sugar, other sweetening matter or spirit (excluding ground-nuts except in mixtures)",container,200819
200820,20,8,"Fruit: pineapples, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",container,200820
200830,20,8,"Fruit: citrus, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",container,200830
200840,20,8,"Fruit: pears, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",container,200840
200850,20,8,"Fruit: apricots, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",container,200850
200860,20,8,"Fruit: cherries, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",container,200860
200870,20,8,"Fruit: peaches, including nectarines, prepared or preserved in ways n.e.c. in heading no. 2007 and 2008, whether or not containing added sugar, other sweetening matter or spirit",container,200870
200880,20,8,"Fruit: strawberries, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",container,200880
200891,20,8,"Fruit, palm hearts: prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit",container,200891
200893,20,8,"Fruit: cranberries (Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea), prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit",container,200899
200897,20,8,"Fruit, nuts and other edible parts of plants: mixtures (other than those of subheading no 2008.19): prepared or preserved in ways n.e.c. in headings 2007 and 2008, whether or not containing added sugar, or other sweetening matter or spirit, n.e.c.",container,200892
200899,20,8,"Fruit, nuts and other edible parts of plants: prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit, n.e.c. in heading no. 2008",container,200899
200911,20,9,"Juice: orange, frozen, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",container,200911
200912,20,9,"Juice: orange, not frozen, of a Brix value not exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",container,200919
200919,20,9,"Juice: orange, not frozen, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",container,200919
200921,20,9,"Juice: grapefruit (including pomelo), of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",container,200920
200929,20,9,"Juice: grapefruit (including pomelo), of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",container,200920
200931,20,9,"Juice: of single citrus fruit (excluding orange or grapefruit), of a Brix value not exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",container,200930
200939,20,9,"Juice: of single citrus fruit (excluding orange or grapefruit), of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",container,200930
200941,20,9,"Juice: pineapple, of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",container,200940
200949,20,9,"Juice: pineapple, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",container,200940
200950,20,9,"Juice: tomato, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",container,200950
200961,20,9,"Juice: grape, of a Brix value not exceeding 30, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",container,200960
200969,20,9,"Juice: grape, of a Brix value exceeding 30, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",container,200960
200971,20,9,"Juice: apple, of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",container,200970
200979,20,9,"Juice: apple, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",container,200970
200981,20,9,"Juice: Cranberry (Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea) juice, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",container,200980
200989,20,9,"Juice: of any single fruit or vegetable n.e.c. in heading no. 2009, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",container,200980
200990,20,9,"Juices: mixtures of fruits or vegetables, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",container,200990
210111,21,1,"Extracts, essences and concentrates: of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of coffee",container,210110
210112,21,1,"Preparations with a basis of extracts, essences or concentrates or with a basis of coffee",container,210110
210120,21,1,"Extracts, essences and concentrates: of tea or mate, and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or mate",container,210120
210130,21,1,"Chicory, roasted and other roasted coffee substitutes: extracts, essences and concentrates thereof",container,210130
210210,21,2,Yeasts: active,container,210210
210220,21,2,"Yeasts: inactive, other single-cell micro-organisms, dead",container,210220
210230,21,2,Baking powders: prepared,container,210230
210310,21,3,Sauces: soya,container,210310
210320,21,3,Sauces: tomato ketchup and other tomato sauces,container,210320
210330,21,3,Mustard flour and meal and prepared mustard,container,210330
210390,21,3,Sauces and preparations therefor: mixed condiments and mixed seasonings,container,210390
210410,21,4,Soups and broths and preparations therefor,container,210410
210420,21,4,Homogenised composite food preparations,container,210420
210500,21,5,Ice cream and other edible ice: whether or not containing cocoa,refrigerated cargo,210500
210610,21,6,Protein: concentrates and textured protein substances,container,210610
210690,21,6,Food preparations: n.e.c. in item no. 2106.10,container,210690
220110,22,1,"Waters: mineral and aerated, including natural or artificial, (not containing added sugar or other sweetening matter nor flavoured)",container,220110
220190,22,1,"Waters: other than mineral and aerated, (not containing added sugar or other sweetening matter nor flavoured), ice and snow",container,220190
220210,22,2,"Waters: including mineral and aerated, containing added sugar or other sweetening matter or flavoured",container,220210
220291,22,2,Non-alcoholic beverages: non-alcoholic beer,container,220290
220299,22,2,"Non-alcoholic beverages: other than non-alcoholic beer, n.e.c. in item no. 2202.10, not including fruit or vegetable juices of heading no. 2009",container,220290
220300,22,3,Beer: made from malt,container,220300
220410,22,4,Wine: sparkling,container,220410
220421,22,4,"Wine: still, in containers holding 2 litres or less",container,220421
220422,22,4,"Wine: still, in containers holding more than 2 litres but not more than 10 litres",container,220429
220429,22,4,"Wine: still, in containers holding more than 10 litres",container,220429
220430,22,4,"Grape must: n.e.c. in heading no. 2009, n.e.c. in item no. 2204.2",container,220430
220510,22,5,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers holding 2 litres or less",container,220510
220590,22,5,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers holding more than 2 litres",container,220590
220600,22,6,"Beverages, fermented: (e.g. cider, perry, mead, sake)",container,220600
220710,22,7,Undenatured ethyl alcohol: of an alcoholic strength by volume of 80% vol. or higher,container,220710
220720,22,7,"Ethyl alcohol and other spirits: denatured, of any strength",container,220720
220820,22,8,Spirits obtained by distilling grape wine or grape marc,container,220820
220830,22,8,Whiskies,container,220830
220840,22,8,Rum and other spirits obtained by distilling fermented sugar-cane products,container,220840
220850,22,8,Gin and geneva,container,220850
220860,22,8,Vodka,container,220890
220870,22,8,Liqueurs and cordials,container,220890
220890,22,8,"Spirits, liqueurs and other spirituous beverages: n.e.c. in heading no. 2208",container,220890
220900,22,9,Vinegar and substitutes for vinegar: obtained from acetic acid,container,220900
230110,23,1,"Flours, meals and pellets: of meat or meat offal, greaves",bulk dry,230110
230120,23,1,"Flours, meals and pellets: of fish or of crustaceans, molluscs or other aquatic invertebrates",bulk dry,230120
230210,23,2,"Bran, sharps and other residues: of maize (corn), whether or not in the form of pellets, derived from the sifting, milling or other workings thereof",bulk dry,230210
230230,23,2,"Bran, sharps and other residues: of wheat, whether or not in the form of pellets, derived from the sifting, milling or other workings thereof",bulk dry,230230
230240,23,2,"Bran, sharps and other residues: of other cereals, whether or not in the form of pellets, derived from the sifting, milling or other workings thereof",bulk dry,230240
230250,23,2,"Bran, sharps and other residues: of leguminous plants, whether or not in the form of pellets, derived from the sifting, milling or other workings thereof",bulk dry,230250
230310,23,3,Residues of starch manufacture and similar residues: whether or not in the form of pellets,bulk dry,230310
230320,23,3,"Beet-pulp, bagasse and other waste of sugar manufacture: whether or not in the form of pellets",bulk dry,230320
230330,23,3,Brewing or distilling dregs and waste: whether or not in the form of pellets,bulk dry,230330
230400,23,4,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",bulk dry,230400
230500,23,5,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil",bulk dry,230500
230610,23,6,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of cotton seed oils",bulk dry,230610
230620,23,6,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of linseed oils",bulk dry,230620
230630,23,6,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of sunflower seed oils",bulk dry,230630
230641,23,6,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of low erucic acid rape or colza seed oils",bulk dry,230640
230649,23,6,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of rape seed oils (other than low erucic acid rape or colza)",bulk dry,230640
230650,23,6,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of coconut or copra seed oils",bulk dry,230650
230660,23,6,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of palm nuts or kernels oils",bulk dry,230660
230690,23,6,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of oils, n.e.c. in heading no. 2306",bulk dry,230690
230700,23,7,Wine lees: argol,bulk dry,230700
230800,23,8,"Vegetable materials and vegetable waste, vegetable residues and by-products: whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included",bulk dry,230890
230910,23,9,"Dog or cat food: put up for retail sale, used in animal feeding",bulk dry,230910
230990,23,9,"Dog or cat food: (not put up for retail sale), used in animal feeding",bulk dry,230990
240110,24,1,"Tobacco, (not stemmed or stripped)",bulk dry,240110
240120,24,1,Tobacco: partly or wholly stemmed or stripped,bulk dry,240120
240130,24,1,Tobacco refuse,bulk dry,240130
240210,24,2,"Cigars, cheroots and cigarillos: containing tobacco including the weight of every band, wrapper or attachment thereto",container,240210
240220,24,2,Cigarettes: containing tobacco,container,240220
240290,24,2,"Cigars, cigarillos and cheroots: containing tobacco substitutes including the weight of every band, wrapper or attachment thereto",container,240290
240311,24,3,"Tobacco: smoking, water pipe tobacco as specified in Subheading Note 1 to this Chapter, whether or not containing tobacco substitutes in any proportion",container,240310
240319,24,3,"Tobacco: smoking, other than water pipe tobacco, whether or not containing tobacco substitutes in any proportion",container,240310
240391,24,3,Tobacco: homogenised or reconstituted,container,240391
240399,24,3,Tobacco: other than homogenised or reconstituted or smoking,container,240399
250100,25,1,Salt (including table salt and denatured salt): pure sodium chloride whether or not in aqueous solution: sea water,container,250100
250200,25,2,Iron pyrites: unroasted,bulk dry,250200
250300,25,3,"Sulphur of all kinds: other than sublimed, precipitated and colloidal sulphur",bulk dry,250310
250410,25,4,"Graphite: natural, in powder or in flakes",bulk dry,250410
250490,25,4,"Graphite: natural, in other forms, excluding powder or flakes",bulk dry,250490
250510,25,5,"Sands: natural, silica and quartz sands, whether or not coloured",bulk dry,250510
250590,25,5,"Sands: natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",bulk dry,250590
250610,25,6,Quartz: other than natural sands,bulk dry,250610
250620,25,6,"Quartzite: whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",bulk dry,250621
250700,25,7,Kaolin and other kaolinic clays: whether or not calcined,bulk dry,250700
250810,25,8,"Clays (excluding expanded clays of heading no. 6806): bentonite, whether or not calcined",bulk dry,250810
250830,25,8,"Clays (excluding expanded clays of heading no. 6806): fireclay, whether or not calcined",bulk dry,250830
250840,25,8,"Clays (excluding expanded clays of heading no. 6806): n.e.c. in heading no. 2508, whether or not calcined",bulk dry,250840
250850,25,8,"Clays (excluding expanded clays of heading no. 6806): andalusite, kyanite and sillimanite, whether or not calcined",bulk dry,250850
250860,25,8,Clays (excluding expanded clays of heading no. 6806): mullite,bulk dry,250860
250870,25,8,Clays (excluding expanded clays of heading no. 6806): chamotte or dinas earths,bulk dry,250870
250900,25,9,Chalk,container,250900
251010,25,10,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk: unground",bulk dry,251010
251020,25,10,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk: ground",bulk dry,251020
251110,25,11,Barium sulphate (barytes): natural,bulk dry,251110
251120,25,11,"Barium carbonate (witherite): natural, whether or not calcined, other than barium oxide of heading no. 2816",bulk dry,251120
251200,25,12,"Siliceous fossil meals (e.g. kieselguhr, tripolite and diatomite) and similar siliceous earths: whether or not calcined, of an apparent specific gravity of 1 or less",bulk dry,251200
251310,25,13,"Pumice stone, whether or not heat treated",bulk dry,251311
251320,25,13,"Emery, natural corundum, natural garnet and other natural abrasives, whether or not heat-treated",bulk dry,251329
251400,25,14,"Slate: whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",bulk dry,251400
251511,25,15,"Marble and travertine: having a specific gravity of 2.5 or more, crude or roughly trimmed by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",bulk dry,251511
251512,25,15,"Marble and travertine: merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape, having a specific gravity of 2.5 or more",bulk dry,251512
251520,25,15,"Ecaussine and other calcareous monumental or building stone: alabaster, having a specific gravity of 2.5 or more",bulk dry,251520
251611,25,16,Granite: crude or roughly trimmed,bulk dry,251611
251612,25,16,"Granite: merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",bulk dry,251612
251620,25,16,"Sandstone:. whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",bulk dry,251622
251690,25,16,"Monumental or building stone: n.e.c. in heading no. 2516, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",bulk dry,251690
251710,25,17,"Pebbles, gravel, broken or crushed stone: of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated",bulk dry,251710
251720,25,17,"Macadam of slag, dross or similar industrial waste: whether or not incorporating the materials in item no. 2517.10",bulk dry,251720
251730,25,17,Tarred macadam,bulk dry,251730
251741,25,17,"Stones: of marble, in granules, chippings and powder, whether or not heat-treated",bulk dry,251741
251749,25,17,"Stones: of heading no. 2515 or 2516 (excluding marble), in granules, chippings and powder, whether or not heat-treated",bulk dry,251749
251810,25,18,"Dolomite, not calcined or sintered: including dolomite roughly trimmed, or merely cut by sawing or otherwise into blocks or slabs of rectangular (including square) shape",bulk dry,251810
251820,25,18,"Dolomite, calcined or sintered: including dolomite roughly trimmed, or merely cut by sawing or otherwise into blocks or slabs of rectangular (including square) shape",bulk dry,251820
251830,25,18,Dolomite ramming mix,bulk dry,251830
251910,25,19,Magnesium carbonate (magnesite): natural,bulk dry,251910
251990,25,19,"Magnesia, fused or dead-burned (sintered): whether or not containing small quantities of other oxides added before sintering, other magnesium oxide, whether or not pure, (not natural magnesium carbonate)",bulk dry,251990
252010,25,20,Gypsum: anhydrite,bulk dry,252010
252020,25,20,"Plasters: (consisting of calcined gypsum or calcium sulphate), whether or not coloured, with or without small quantities of accelerators or retarders",bulk dry,252020
252100,25,21,"Limestone flux: limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",bulk dry,252100
252210,25,22,Quicklime: excluding calcium oxide and hydroxide of heading no. 2825,bulk dry,252210
252220,25,22,Slaked lime: excluding calcium oxide and hydroxide of heading no. 2825,bulk dry,252220
252230,25,22,Hydraulic lime: excluding calcium oxide and hydroxide of heading no. 2825,bulk dry,252230
252310,25,23,Cement clinkers (whether or not coloured),bulk dry,252310
252321,25,23,"Cement: portland, white, whether or not artificially coloured",bulk dry,252321
252329,25,23,"Cement: portland, other than white, whether or not artificially coloured",bulk dry,252329
252330,25,23,"Cement: aluminous (ciment fondu), whether or not coloured or in the form of clinkers",bulk dry,252330
252390,25,23,Cement: hydraulic kinds n.e.c. in heading no. 2523,bulk dry,252390
252410,25,24,Asbestos: crocidolite (blue asbestos),bulk dry,252400
252490,25,24,Asbestos: other than crocidolite (blue asbestos),bulk dry,252400
252510,25,25,Mica: crude and rifted into sheets or splittings,bulk dry,252510
252520,25,25,Mica: powder,bulk dry,252520
252530,25,25,Mica: waste,bulk dry,252530
252610,25,26,"Steatite: natural, (not crushed or powdered), whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape: talc",bulk dry,252610
252620,25,26,"Steatite: natural, crushed, powdered, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape: talc",bulk dry,252620
252800,25,28,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine: natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight",bulk dry,252890
252910,25,29,Feldspar,bulk dry,252910
252921,25,29,Fluorspar: containing by weight 97% or less of calcium fluoride,bulk dry,252921
252922,25,29,Fluorspar: containing by weight more than 97% of calcium fluoride,bulk dry,252922
252930,25,29,Leucite: nepheline and nepheline syenite,bulk dry,252930
253010,25,30,"Vermiculite, perlite and chlorites: unexpanded",bulk dry,253010
253020,25,30,"Kieserite, epsomite (natural magnesium sulphates)",bulk dry,253020
253090,25,30,Mineral substances: n.e.c. in chapter 25,bulk dry,253090
260111,26,1,Iron ores and concentrates: non-agglomerated,bulk dry,260111
260112,26,1,Iron ores and concentrates: agglomerated (excluding roasted iron pyrites),bulk dry,260112
260120,26,1,Iron pyrites: roasted,bulk dry,260120
260200,26,2,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",bulk dry,260200
260300,26,3,Copper ores and concentrates,bulk dry,260300
260400,26,4,Nickel ores and concentrates,bulk dry,260400
260500,26,5,Cobalt ores and concentrates,bulk dry,260500
260600,26,6,Aluminium ores and concentrates,bulk dry,260600
260700,26,7,Lead ores and concentrates,bulk dry,260700
260800,26,8,Zinc ores and concentrates,bulk dry,260800
260900,26,9,Tin ores and concentrates,bulk dry,260900
261000,26,10,Chromium ores and concentrates,bulk dry,261000
261100,26,11,Tungsten ores and concentrates,bulk dry,261100
261210,26,12,Uranium ores and concentrates,bulk dry,261210
261220,26,12,Thorium ores and concentrates,bulk dry,261220
261310,26,13,Molybdenum ores and concentrates: roasted,bulk dry,261310
261390,26,13,Molybdenum ores and concentrates: other than roasted,bulk dry,261390
261400,26,14,Titanium ores and concentrates,bulk dry,261400
261510,26,15,Zirconium ores and concentrates,bulk dry,261510
261590,26,15,"Niobium, tantalum, vanadium ores and concentrates",bulk dry,261590
261610,26,16,Silver ores and concentrates,bulk dry,261610
261690,26,16,Precious metal ores and concentrates: (excluding silver),bulk dry,261690
261710,26,17,Antimony ores and concentrates,bulk dry,261710
261790,26,17,Ores and concentrates n.e.c. in chapter 26: other than antimony,bulk dry,261790
261800,26,18,"Slag, granulated (slag sand): from the manufacture or iron or steel",bulk dry,261800
261900,26,19,"Slag, dross: (other than granulated slag), scalings and other waste from the manufacture of iron or steel",bulk dry,261900
262011,26,20,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly zinc, hard zinc spelter",bulk dry,262011
262019,26,20,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly zinc, other than hard zinc spelter",bulk dry,262019
262021,26,20,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly lead: leaded gasoline sludges and leaded anti-knock compound sludges",bulk dry,262020
262029,26,20,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly lead: excluding leaded gasoline sludges and leaded anti-knock compound sludges",bulk dry,262020
262030,26,20,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly copper",bulk dry,262030
262040,26,20,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly aluminium",bulk dry,262040
262060,26,20,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",bulk dry,262090
262091,26,20,"Slag, ash and residues: (not from the manufacture of iron or steel), containing antimony, beryllium, cadmium, chromium or their mixtures",bulk dry,262090
262099,26,20,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly metals or their compounds, n.e.c. in heading no. 2620",bulk dry,262090
262110,26,21,Slag and ash: ash and residues from the incineration of municipal waste,bulk dry,262100
262190,26,21,Slag and ash n.e.c. in chapter 26: including seaweed ash (kelp) but excluding ash and residues from the incineration of municipal waste,bulk dry,262100
270111,27,1,"Coal: anthracite, whether or not pulverised, but not agglomerated",bulk dry,270111
270112,27,1,"Coal: bituminous, whether or not pulverised, but not agglomerated",bulk dry,270112
270119,27,1,"Coal: (other than anthracite and bituminous), whether or not pulverised but not agglomerated",bulk dry,270119
270120,27,1,"Briquettes, ovoids and similar solid fuels: manufactured from coal",bulk dry,270120
270210,27,2,"Lignite: whether or not pulverised, but not agglomerated, excluding jet",bulk dry,270210
270220,27,2,"Lignite: agglomerated, excluding jet",bulk dry,270220
270300,27,3,"Peat: (including peat litter), whether or not agglomerated",bulk dry,270300
270400,27,4,"Coke and semi-coke: of coal, lignite or peat, whether or not agglomerated: retort carbon",bulk dry,270400
270500,27,5,"Gases: coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",chemical,270500
270600,27,6,"Tar: distilled from coal, lignite or peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars",chemical,270600
270710,27,7,Oils and products of the distillation of high temperature coal tar: benzol (benzene),chemical,270710
270720,27,7,Oils and products of the distillation of high temperature coal tar: toluol (toluene),chemical,270720
270730,27,7,Oils and products of the distillation of high temperature coal tar: xylol (xylenes),chemical,270730
270740,27,7,Oils and products of the distillation of high temperature coal tar: naphthalene,chemical,270740
270750,27,7,"Aromatic hydrocarbon mixtures: n.e.c. in heading no. 2707, of which 65% or more by volume (including losses) distils at 250 degrees Celsius by the ISO 3405 method (equivalent to the ASTM D 86 method)",chemical,270750
270791,27,7,Oils and other products of the distillation of high temperature coal tar: creosote oils,chemical,270791
270799,27,7,Oils and other products of the distillation of high temperature coal tar: n.e.c. in heading no. 2707,chemical,270799
270810,27,8,Pitch: obtained from coal tar or from other mineral tars,bulk dry,270810
270820,27,8,Pitch coke: obtained from coal tar or from other mineral tars,bulk dry,270820
270900,27,9,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",oil,270900
271000,27,10,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",oil,271000
271111,27,11,"Petroleum gases and other gaseous hydrocarbons: liquefied, natural gas",liquefied gas,271111
271112,27,11,"Petroleum gases and other gaseous hydrocarbons: liquefied, propane",liquefied gas,271112
271113,27,11,"Petroleum gases and other gaseous hydrocarbons: liquefied, butanes",liquefied gas,271113
271114,27,11,"Petroleum gases and other gaseous hydrocarbons: liquefied, ethylene, propylene, butylene and butadiene",liquefied gas,271114
271119,27,11,"Petroleum gases and other gaseous hydrocarbons: liquefied, n.e.c. in heading no. 2711",liquefied gas,271119
271121,27,11,"Petroleum gases and other gaseous hydrocarbons: in gaseous state, natural gas",liquefied gas,271121
271129,27,11,"Petroleum gases and other gaseous hydrocarbons: in gaseous state, other than natural gas",liquefied gas,271129
271210,27,12,Petroleum jelly,bulk dry,271210
271220,27,12,"Paraffin wax: containing by weight less than 0.75% of oil, obtained by synthesis or by other processes, whether or not coloured",bulk dry,271220
271290,27,12,"Paraffin wax: containing by weight 0.75% or more of oil, obtained by synthesis or by other processes, whether or not coloured",bulk dry,271290
271311,27,13,"Petroleum coke: (not calcined), obtained from bituminous minerals",bulk dry,271311
271312,27,13,"Petroleum coke: calcined, obtained from bituminous minerals",bulk dry,271312
271320,27,13,Petroleum bitumen: obtained from bituminous minerals,bulk dry,271320
271390,27,13,Residues: of petroleum oils or of oils obtained from bituminous minerals,bulk dry,271390
271410,27,14,Bituminous or oil shale and tar sands,bulk dry,271410
271490,27,14,"Bitumen and asphalt, natural: asphaltites and asphaltic rock",bulk dry,271490
271500,27,15,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (e.g. bituminous mastics, cut-backs)",bulk dry,271500
271600,27,16,Electrical energy,container,271600
280110,28,1,Chlorine,container,280110
280120,28,1,Iodine,container,280120
280130,28,1,Fluorine: bromine,container,280130
280200,28,2,"Sulphur: sublimed or precipitated, colloidal sulphur",container,280200
280300,28,3,Carbon: carbon blacks and other forms of carbon n.e.c.,container,280300
280410,28,4,Hydrogen,container,280410
280421,28,4,"Gases, rare: argon",container,280421
280429,28,4,"Gases, rare: other than argon",container,280429
280430,28,4,Nitrogen,container,280430
