k;description;category
80450;Fruit, edible: guavas, mangoes and mangosteens, fresh or dried;container
80510;Fruit, edible: oranges, fresh or dried;container
80521;Fruit, edible: mandarins (including tangerines and satsumas), fresh or dried;container
80522;Fruit, edible: clementines, fresh or dried;container
80529;Fruit, edible: tangelos, wilkings and similar citrus hybrid, fresh or dried;container
80540;Fruit, edible: grapefruit, including pomelos, fresh or dried;container
80550;Fruit, edible: lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia , Citrus latifolia), fresh or dried;container
80590;Fruit, edible: citrus fruit n.e.c. in heading no. 0805, fresh or dried;container
80610;Fruit, edible: grapes, fresh;container
80620;Fruit, edible: grapes, dried;container
80711;Fruit, edible: watermelons, fresh;container
80719;Fruit, edible: melons, other than watermelons, fresh;container
80720;Fruit, edible: papaws (papayas), fresh;container
80810;Fruit, edible: apples, fresh;container
80830;Fruit, edible: pears, fresh;container
80840;Fruit, edible: quinces, fresh;container
80910;Fruit, edible: apricots, fresh;container
80921;Fruit, edible: sour cherries (Prunus cerasus), fresh;container
80929;Fruit, edible: cherries, other than sour cherries (Prunus cerasus), fresh;container
80930;Fruit, edible: peaches, including nectarines, fresh;container
80940;Fruit, edible: plums and sloes, fresh;container
81010;Fruit, edible: strawberries, fresh;container
81020;Fruit, edible: raspberries, blackberries, mulberries, and loganberries, fresh;container
81030;Fruit, edible: black, white or red currants and gooseberries, fresh;container
81040;Fruit, edible: cranberries, bilberries and other fruits of the genus vaccinium, fresh;container
81050;Fruit, edible: kiwifruit, fresh;container
81060;Fruit, edible: durians, fresh;container
81070;Fruit, edible: persimmons, fresh;container
81090;Fruit, edible: fruits n.e.c. in heading no. 0801 to 0810, fresh;container
81110;Fruit, edible: strawberries, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter;container
81120;Fruit, edible: raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries, uncooked or cooked, whether or not containing added sugar or other sweetening matter;container
81190;Fruit, edible: fruit and nuts n.e.c. in heading no. 0811, uncooked or cooked, frozen whether or not containing added sugar or other sweetening matter;container
81210;Fruit, edible: cherries, provisionally preserved, but unsuitable in that state for immediate consumption;container
81290;Fruit, edible: fruit and nuts n.e.c. in heading no. 0812, provisionally preserved, but unsuitable in that state for immediate consumption;container
81310;Fruit, edible: apricots, dried;container
81320;Fruit, edible: prunes, dried;container
81330;Fruit, edible: apples, dried;container
81340;Fruit, edible: fruit n.e.c. in heading no. 0812, dried;container
81350;Nuts, edible: mixtures of nuts or dried fruits of chapter 08;container
81400;Peel: of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water and other preservative solutions;container
90111;Coffee: not roasted or decaffeinated;container
90112;Coffee: decaffeinated, not roasted;container
90121;Coffee: roasted, not decaffeinated;container
90122;Coffee: roasted, decaffeinated;container
90190;Coffee: husks and skins, coffee substitutes containing coffee in any proportion;container
90210;Tea, green: (not fermented), in immediate packings of a content not exceeding 3kg;container
90220;Tea, green: (not fermented), in immediate packings of a content exceeding 3kg;container
90230;Tea, black: (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg;container
90240;Tea, black: (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg;container
90300;Mate;container
90411;Spices: pepper (of the genus piper), neither crushed nor ground;container
90412;Spices: pepper (of the genus piper), crushed or ground;container
90421;Spices: fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground;container
90422;Spices: fruits of the genus Capsicum or Pimenta, crushed or ground;container
90510;Spices: vanilla, neither crushed nor ground;bulk dry
90520;Spices: vanilla, crushed or ground;bulk dry
90611;Spices: cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground;bulk dry
90619;Spices: cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground;bulk dry
90620;Spices: cinnamon and cinnamon-tree flowers, crushed or ground;bulk dry
90710;Spices: cloves (whole fruit, cloves and stems), neither crushed nor ground;bulk dry
90720;Spices: cloves (whole fruit, cloves and stems), crushed or ground;bulk dry
90811;Spices: nutmeg, neither crushed nor ground;bulk dry
90812;Spices: nutmeg, crushed or ground;bulk dry
90821;Spices: mace, neither crushed nor ground;bulk dry
90822;Spices: mace, crushed or ground;bulk dry
90831;Spices: cardamoms, neither crushed nor ground;bulk dry
90832;Spices: cardamoms, crushed or ground;bulk dry
90921;Spices: coriander seeds, neither crushed nor ground;bulk dry
90922;Spices: coriander seeds, crushed or ground;bulk dry
90931;Spices: cumin seeds, neither crushed nor ground;bulk dry
90932;Spices: cumin seeds, crushed or ground;bulk dry
90961;Spices: seeds of anise, badian, caraway or fennel: juniper berries, neither crushed nor ground;bulk dry
90962;Spices: seeds of anise, badian, caraway or fennel: juniper berries, crushed or ground;bulk dry
91011;Spices: ginger, neither crushed nor ground;bulk dry
91012;Spices: ginger, crushed or ground;bulk dry
91020;Spices: saffron;bulk dry
91030;Spices: turmeric (curcuma);bulk dry
91091;Spices: mixtures of 2 or more products of different headings;bulk dry
91099;Spices: n.e.c. in heading no. 0910;bulk dry
100111;Cereals: wheat and meslin, durum wheat, seed;bulk dry
100119;Cereals: wheat and meslin, durum wheat, other than seed;bulk dry
100191;Cereals: wheat and meslin, other than durum wheat, seed;bulk dry
100199;Cereals: wheat and meslin, other than durum wheat, other than seed;bulk dry
100210;Cereals: rye, seed;bulk dry
100290;Cereals: rye, other than seed;bulk dry
100310;Cereals: barley, seed;bulk dry
100390;Cereals: barley, other than seed;bulk dry
100410;Cereals: oats, seeds;bulk dry
100490;Cereals: oats, other than seed;bulk dry
100510;Cereals: maize (corn), seed;bulk dry
100590;Cereals: maize (corn), other than seed;bulk dry
100610;Cereals: rice in the husk (paddy or rough);bulk dry
100620;Cereals: husked (brown) rice;bulk dry
100630;Cereals: rice, semi-milled or wholly milled, whether or not polished or glazed;bulk dry
100640;Cereals: rice, broken;bulk dry
100710;Cereals: grain sorghum, seed;bulk dry
100790;Cereals: grain sorghum, other than seed;bulk dry
100810;Cereals: buckwheat;bulk dry
100821;Cereals: millet, seed;bulk dry
100829;Cereals: millet, other than seed;bulk dry
100830;Cereals: canary seeds;bulk dry
100840;Cereals: fonio (Digitaria spp.);bulk dry
100850;Cereals: quinoa (Chenopodium quinoa);bulk dry
100860;Cereals: triticale;bulk dry
100890;Cereals: n.e.c. in chapter 10;bulk dry
110100;Wheat or meslin flour;bulk dry
110220;Cereal flour: of maize (corn);bulk dry
110290;Cereal flours: other than wheat, meslin, and maize (corn);bulk dry
110311;Cereal groats and meal: of wheat;bulk dry
110313;Cereal groats and meal: of maize (corn);bulk dry
110319;Cereal groats and meal: n.e.c. in heading no. 1103;bulk dry
110320;Cereal pellets;bulk dry
110412;Cereal grains: rolled or flaked, of oats;bulk dry
110419;Cereal grains: rolled or flaked, other than oats;bulk dry
110422;Cereal grains: worked (e.g. hulled, pearled, sliced or kibbled) of oats;bulk dry
110423;Cereal grains: worked (e.g. hulled, pearled, sliced or kibbled) of maize (corn);bulk dry
110429;Cereal grains: worked, other than rolled or flaked (e.g. Hulled, pearled, sliced or kibbled) of cereals, excluding oats and maize, and rice of heading no.1006;bulk dry
110430;Cereal: germ of cereals, whole, rolled, flaked or ground;bulk dry
110510;Flour, meal and powder: of potatoes;bulk dry
110520;Flakes, granules and pellets: of potatoes;bulk dry
110610;Flour, meal and powder: of the dried leguminous vegetables of heading no. 0713;bulk dry
110620;Flour, meal and powder: of sago or of roots or tubers of heading no. 0714;bulk dry
110630;Flour, meal and powder: of the products of chapter 8;bulk dry
110710;Malt: not roasted;bulk dry
110720;Malt: roasted;bulk dry
110811;Starch: wheat;bulk dry
110812;Starch: maize (corn) starch;bulk dry
110813;Starch: potato;bulk dry
110814;Starch: manioc (cassava);bulk dry
110819;Starch: n.e.c. in item no. 1108.11 to 1108.14;bulk dry
110820;Inulin;bulk dry
110900;Wheat gluten: whether or not dried;bulk dry
120110;Soya beans: seed, whether or not broken;bulk dry
120190;Soya beans: other than seed, whether or not broken;bulk dry
120230;Ground-nuts: seed, not roasted or otherwise cooked, whether or not shelled or broken;bulk dry
120241;Ground-nuts: other than seed, not roasted or otherwise cooked, in shell;bulk dry
120242;Ground-nuts: other than seed, not roasted or otherwise cooked, shelled, whether or not broken,;bulk dry
120300;Copra;bulk dry
120400;Oil seeds: linseed, whether or not broken;bulk dry
120510;Oil seeds: low erucic acid rape or colza seeds, whether or not broken;bulk dry
120590;Oil seeds: rape or colza seeds, other than low erucic, whether or not broken;bulk dry
120600;Oil seeds: sunflower seeds, whether or not broken;bulk dry
120710;Oil seeds: palm nuts and kernels, whether or not broken;bulk dry
120721;Oil seeds: cotton seeds, seed, whether or not broken;bulk dry
120729;Oil seeds: cotton seeds, other than seed, whether or not broken;bulk dry
120730;Oil seeds: castor oil seeds, whether or not broken;bulk dry
120740;Oil seeds: sesamum seeds, whether or not broken;bulk dry
120750;Oil seeds: mustard seeds, whether or not broken;bulk dry
120760;Oil seeds: safflower (Carthamus tinctorius) seeds, whether or not broken;bulk dry
120770;Oil seeds: melon seeds, whether or not broken;bulk dry
120791;Oil seeds: poppy seeds, whether or not broken;bulk dry
120799;Oil seeds and oleaginous fruits: n.e.c. in heading no. 1207, whether or not broken;bulk dry
120810;Flours and meals: of soya beans;bulk dry
120890;Flours and meals of oil seeds or oleaginous fruits: excluding soya beans and mustard seeds;bulk dry
120910;Seed: sugar beet seeds, of a kind used for sowing;bulk dry
120921;Seeds of forage plants: lucerne (alfalfa) seeds, of a kind used for sowing;bulk dry
120922;Seeds of forage plants: clover (Trifolium spp.) seeds, of a kind used for sowing;bulk dry
120923;Seeds of forage plants: fescue seeds, of a kind used for sowing;bulk dry
120924;Seeds of forage plants: Kentucky blue grass (Poa pratensis L.) seeds, of a kind used for sowing;bulk dry
120925;Seeds of forage plants: rye grass (Lolium multiflorum Lam., Lolium perenne L.) seeds, of a kind used for sowing;bulk dry
120929;Seeds of forage plants: other than lucerne, clover, fescue, Kentucky blue grass, and rye grass seeds, of a kind used for sowing;bulk dry
120930;Seeds of herbaceous plants: cultivated principally for their flowers, of a kind used for sowing;bulk dry
120991;Seeds: vegetable seeds, of a kind used for sowing;bulk dry
120999;Seeds: n.e.c. in heading 1209, of a kind used for sowing;bulk dry
121010;Hop cones: neither ground nor powdered nor in the form of pellets;bulk dry
121020;Hop cones: ground, powdered or in the form of pellets: lupulin;bulk dry
121120;Ginseng roots, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered;bulk dry
121130;Coca leaf: of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered;bulk dry
121140;Poppy straw: of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered;bulk dry
121150;Ephedra, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered;bulk dry
121190;Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered;bulk dry
121221;Seaweeds and other algae: fit for human consumption, fresh, chilled, frozen or dried, whether or not ground;bulk dry
121229;Seaweeds and other algae: not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground;bulk dry
121291;Sugar beet: fit for human consumption, fresh, chilled, frozen or dried, whether or not ground;bulk dry
121292;Locust beans (carob): fit for human consumption, fresh, chilled, frozen or dried, whether or not ground;bulk dry
121293;Sugar cane: fit for human consumption, fresh, chilled, frozen or dried, whether or not ground;bulk dry
121294;Chicory roots (Chicorium intybus sativum): fit for human consumption, fresh, chilled, frozen or dried, whether or not ground;bulk dry
121299;Vegetable products: fit for human consumption, n.e.c. in heading no. 1212, fresh, chilled, frozen or dried, whether or not ground;bulk dry
121300;Cereal straw and husks: unprepared, whether or not chopped, ground, pressed or in the form of pellets;bulk dry
121410;Lucerne (alfalfa) meal and pellets;bulk dry
121490;Forage products including swedes, mangolds, fodder roots, hay, sainfoin, clover, forage kale, lupines, vetches etc., pelletised or otherwise;bulk dry
130120;Gum Arabic;container
130190;Natural gums, resins, gum-resins and oleoresins, n.e.c. in heading no. 1301;container
130211;Vegetable saps and extracts: opium;container
130212;Vegetable saps and extracts: of liquorice;container
130213;Vegetable saps and extracts: of hops;container
130214;Vegetable saps and extracts: of ephedra;container
130219;Vegetable saps and extracts: n.e.c. in item no. 1302.1;container
130220;Pectic substances: pectinates and pectates;container
130231;Mucilages and thickeners: agar-agar, whether or not modified, derived from vegetable products;container
130232;Mucilages and thickeners: whether or not modified, derived from locust beans, locust bean seeds or guar seeds;container
130239;Mucilages and thickeners: whether or not modified, derived from vegetable products, n.e.c. in item no. 1302.3;container
140110;Bamboo used primarily for plaiting;bulk dry
140120;Rattans used primarily for plaiting;bulk dry
140190;Vegetable materials of a kind used primarily for plaiting: n.e.c. in heading no. 1401;bulk dry
140420;Vegetable products: cotton linters;bulk dry
140490;Vegetable products: n.e.c. in chapter 14;bulk dry
150110;Pig fat: lard, other than that of heading 0209 and 1503;container
150120;Pig fat: not lard, other than that of heading 0209 or 1503;container
150190;Poultry fat: other than that of heading 0209 or 1503;container
150210;Tallow: other than those of heading 1503;container
150290;Fats of bovine animals, sheep or goats: excluding tallow, and other than those of heading 1503;container
150300;Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil: not emulsified or mixed or otherwise prepared;container
150410;Oils of fish: fish-liver oils and their fractions, whether or not refined, but not chemically modified;container
150420;Fats and oils and their fractions: of fish, (excluding liver-oils);container
150430;Fats and oils and their fractions: of marine mammals;container
150500;Wool grease and fatty substances derived therefrom (including lanolin);container
150600;Animal fats and oils and their fractions: whether or not refined, but not chemically modified, n.e.c. in chapter 15;container
150710;Vegetable oils: soya-bean oil and its fractions, crude, whether or not degummed, not chemically modified;container
150790;Vegetable oils: soya-bean oil and its fractions, other than crude, whether or not refined, but not chemically modified;container
150810;Vegetable oils: ground-nut oil and its fractions, crude, not chemically modified;container
150890;Vegetable oils: ground-nut oil and its fractions, other than crude, whether or not refined, but not chemically modified;container
150910;Vegetable oils: olive oil and its fractions, virgin, whether or not refined, but not chemically modified;container
150990;Vegetable oils: olive oil and its fractions, other than virgin, whether or not refined, but not chemically modified;container
151000;Vegetable oils: oils and their fractions n.e.c. in chapter 15, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading no. 1509;container
151110;Vegetable oils: palm oil and its fractions, crude, not chemically modified;container
151190;Vegetable oils: palm oil and its fractions, other than crude, whether or not refined, but not chemically modified;container
151211;Vegetable oils: sunflower seed or safflower oil and their fractions, crude, not chemically modified;container
151219;Vegetable oils: sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified;container
151221;Vegetable oils: cotton-seed oil and its fractions: crude, whether or not gossypol has been removed, not chemically modified;container
151229;Vegetable oils: cotton-seed oil and its fractions, other than crude, whether or not refined, but not chemically modified;container
151311;Vegetable oils: coconut (copra) oil and its fractions, crude, not chemically modified;container
151319;Vegetable oils: coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified;container
151321;Vegetable oils: palm kernel or babassu oil and their fractions, crude, not chemically modified;container
151329;Vegetable oils: palm kernel or babassu oil and their fractions, other than crude, whether or not refined, but not chemically modified;container
151411;Vegetable oils: low erucic acid rape or colza oil and its fractions, crude;container
151419;Vegetable oils: low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified;container
151491;Vegetable oils: excluding low erucic acid rape or colza oil and its fractions, crude;container
151499;Vegetable oils: excluding low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified;container
151511;Vegetable oils: linseed oil and its fractions, crude, not chemically modified;container
151519;Vegetable oils: linseed oil and its fractions, other than crude, whether or not refined, but not chemically modified;container
151521;Vegetable oils: maize (corn) oil and its fractions, crude, not chemically modified;container
151529;Vegetable oils: maize (corn) oil and its fractions, other than crude, whether or not refined, but not chemically modified;container
151530;Vegetable oils: castor oil and its fractions, whether or not refined, but not chemically modified;container
151550;Vegetable oils: sesame oil and its fractions, whether or not refined, but not chemically modified;container
151590;Vegetable fats and oils and their fractions: fixed, n.e.c. in heading no. 1515, whether or not refined, but not chemically modified;container
151610;Animal fats and oils and their fractions: partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared;container
151620;Vegetable fats and oils and their fractions: partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared;container
151710;Margarine: excluding liquid margarine;container
151790;Edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, other than edible fats or oils of heading no. 1516;container
151800;Animal or vegetable fats and oils and their fractions: oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils;container
152000;Glycerol, crude: glycerol waters and glycerol lyes;container
152110;Vegetable waxes (other than triglycerides): whether or not refined or coloured;container
152190;Waxes, other than vegetable, n.e.c. in heading no. 1521: whether or not refined or coloured;container
152200;Degras: residues resulting from the treatment of fatty substances or animal or vegetable waxes;container
160100;Meat preparations: sausages and similar products, of meat, meat offal or blood, and food preparations based on these products;container
160210;Meat preparations: homogenised preparations of meat, meat offal or blood;container
160220;Meat preparations: of the prepared or preserved liver of any animal (excluding homogenised preparations);container
160231;Meat preparations: of turkeys, prepared or preserved meat or meat offal (excluding livers and homogenised preparations);container
160232;Meat preparations: of the poultry of heading no. 0105, (i.e. of fowls of the species Gallus domesticus);container
160239;Meat preparations: of poultry (excluding turkeys), prepared or preserved meat or meat offal (excluding livers and homogenised preparations);container
160241;Meat preparations: of swine, hams and cuts thereof, prepared or preserved (excluding homogenised preparations);container
160242;Meat preparations: of swine, shoulders and cuts thereof, prepared or preserved (excluding homogenised preparations);container
160249;Meat preparations: of swine, meat or meat offal (including mixtures), prepared or preserved, n.e.c. in heading no. 1602;container
160250;Meat preparations: of bovine animals, meat or meat offal, prepared or preserved (excluding livers and homogenised preparations);container
160290;Meat preparations: of meat, meat offal or the blood of any animal, n.e.c. in heading no. 1602;container
160300;Extracts and juices: of meat, fish or crustaceans, molluscs or other aquatic invertebrates;container
160411;Fish preparations: salmon, prepared or preserved, whole or in pieces (but not minced);container
160412;Fish preparations: herrings, prepared or preserved, whole or in pieces (but not minced);container
160413;Fish preparations: sardines, sardinella and brisling or sprats, prepared or preserved, whole or in pieces (but not minced);container
160414;Fish preparations: tunas, skipjack and Atlantic bonito (sarda spp.), prepared or preserved, whole or in pieces (but not minced);container
160415;Fish preparations: mackerel, prepared or preserved, whole or in pieces (but not minced);container
160416;Fish preparations: anchovies, prepared or preserved, whole or in pieces (but not minced);container
160417;Fish preparations: eels, prepared or preserved, whole or in pieces (but not minced);container
160418;Fish preparations: shark fins, prepared or preserved, whole or in pieces (but not minced);container
160419;Fish preparations: fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604;container
160420;Fish preparations: fish minced or in forms n.e.c. in heading no. 1604, prepared or preserved;container
160431;Fish preparations: caviar;container
160432;Fish preparations: caviar substitutes, prepared from fish eggs;container
160510;Crustacean preparations: crab, prepared or preserved;container
160521;Crustacean preparations: shrimps and prawns, prepared or preserved, not in airtight containers;container
160529;Crustacean preparations: shrimps and prawns, prepared or preserved, in airtight containers;container
160530;Crustacean preparations: lobster, prepared or preserved;container
160540;Crustacean preparations: other than crab, shrimps, prawns, and lobsters, prepared or preserved;container
160551;Mollusc preparations: oysters, prepared or preserved;container
160552;Mollusc preparations: scallops, including queen scallops, prepared or preserved;container
160553;Mollusc preparations: mussels, prepared or preserved;container
160554;Mollusc preparations: cuttle fish and squid, prepared or preserved;container
160555;Mollusc preparations: octopus, prepared or preserved;container
160556;Mollusc preparations: clams, cockles and arkshells, prepared or preserved;container
160557;Mollusc preparations: abalone, prepared or preserved;container
160558;Mollusc preparations: snails, other than sea snails, prepared or preserved;container
160559;Mollusc preparations: n.e.c. in item no. 1605.5, preparations such as pastes, sausages, prepared meals and the like;container
160561;Aquatic invertebrates: sea cucumbers, prepared or preserved;container
160562;Aquatic invertebrates: sea urchins, prepared or preserved;container
160563;Aquatic invertebrates: jellyfish, prepared or preserved;container
160569;Aquatic invertebrates: other than crustaceans, molluscs, sea cucumbers, sea urchins, and jellyfish, prepared or preserved;container
170112;Sugars: beet sugar, raw, in solid form, not containing added flavouring or colouring matter;bulk dry
170113;Sugars: cane sugar, raw, in solid form, as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter;bulk dry
170114;Sugars: cane sugar, raw, in solid form, other than as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter;bulk dry
170191;Sugars: sucrose, chemically pure, in solid form, containing added flavouring or colouring matter;bulk dry
170199;Sugars: sucrose, chemically pure, in solid form, not containing added flavouring or colouring matter;bulk dry
170211;Sugars: lactose and lactose syrup, containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter;container
170219;Sugars: lactose and lactose syrup, containing by weight less than 99% lactose, expressed as anhydrous lactose, calculated on the dry matter;container
170220;Sugars: maple sugar, chemically pure, in solid form: maple syrup, not containing added flavouring or colouring matter;container
170230;Sugars: glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose, the syrup not containing added flavouring or colouring matter;container
170240;Sugars: glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar, the syrup not containing added flavouring or colouring matter;container
170250;Sugars: fructose, chemically pure, in solid form;container
170260;Sugars: fructose, other than chemically pure fructose, and fructose syrup (containing in the dry state more than 50% by weight of fructose), excluding invert sugar;container
170290;Sugars: n.e.c. in heading no. 1702, including invert sugar and other sugar and sugar syrup blends containing, in the dry state, 50% by weight of fructose;container
170310;Sugars: molasses, from sugar cane, resulting from the extraction or refining of sugar;container
170390;Sugars: molasses, from sugar beet, resulting from the extraction or refining of sugar;container
170410;Sugar confectionery: chewing gum, whether or not sugar-coated, not containing cocoa;container
170490;Sugar confectionery: (excluding chewing gum, including white chocolate), not containing cocoa;container
180100;Cocoa beans: whole or broken, raw or roasted;bulk dry
180200;Cocoa: shells, husks, skins and other cocoa waste;container
180310;Cocoa: paste, not defatted;container
180320;Cocoa: paste, wholly or partly defatted;container
180400;Cocoa: butter, fat and oil;container
180500;Cocoa: powder, not containing added sugar or other sweetening matter;container
180610;Cocoa: powder, containing added sugar or other sweetening matter;container
180620;Chocolate & other food preparations containing cocoa: in blocks, slabs or bars weighing more than 2kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, content exceeding 2kg;container
180631;Chocolate and other food preparations containing cocoa: in blocks, slabs or bars, filled, weighing 2kg or less;container
180632;Chocolate and other food preparations containing cocoa: in blocks, slabs or bars, (not filled), weighing 2kg or less;container
180690;Chocolate and other food preparations containing cocoa: n.e.c. in chapter 18;container
190110;Food preparations: of flour, meal, starch, malt extract or milk products, suitable for infants or young children, put up for retail sale;container
190120;Food preparations: mixes and doughs for the preparation of bread, pastry, cakes, biscuits and other bakers' wares;container
190190;Food preparations: of flour, meal, starch, malt extract or milk products, for uses n.e.c. in heading no. 1901;container
190211;Food preparations: pasta, containing eggs, uncooked, not stuffed or otherwise prepared;container
190219;Food preparations: pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared;container
190220;Food preparations: pasta, stuffed (with meat or other substances), whether or not cooked or otherwise prepared;container
190230;Food preparations: pasta (excluding stuffed), cooked or otherwise prepared;container
190240;Food preparations: couscous;container
190300;Food preparations: tapioca and substitutes thereof, prepared from starch in the form of flakes, grains, pearls, siftings or similar;container
190410;Food preparations: obtained by the swelling or roasting of cereals or cereal products;container
190420;Food preparations: obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes or swelled cereals;container
190430;Prepared foods obtained by the swelling or roasting of cereals or cereal products (e.g. corn flakes): cereals, not maize (corn), in grain form or in the form of flakes or other worked grains, from bulgur wheat;container
190490;Food preparations: cereal or cereal products (excluding maize), in grain form, pre-cooked or otherwise prepared;container
190510;Food preparations: crispbread, whether or not containing cocoa;container
190520;Food preparations: gingerbread and the like, whether or not containing cocoa;container
190531;Food preparations: sweet biscuits, whether or not containing cocoa;container
190532;Food preparations: waffles and wafers, whether or not containing cocoa;container
190540;Food preparations: rusks, toasted bread and similar toasted products, whether or not containing cocoa;container
190590;Food preparations: bakers' wares n.e.c. in heading no. 1605, whether or not containing cocoa: communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products;container
200110;Vegetable preparations: cucumbers and gherkins, prepared or preserved by vinegar or acetic acid;container
200190;Vegetable preparations: vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid (excluding cucumbers and gherkins);container
200210;Vegetable preparations: tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid;container
200290;Vegetable preparations: tomatoes, (other than whole or in pieces), prepared or preserved otherwise than by vinegar or acetic acid;container
200310;Vegetable preparations: mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid;container
200390;Vegetable preparations: mushrooms and truffles, other than mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid;container
200410;Vegetable preparations: potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen;refrigerated cargo
200490;Vegetable preparations: vegetables and mixtures of vegetables (excluding potatoes), prepared or preserved otherwise than by vinegar or acetic acid, frozen;refrigerated cargo
200510;Vegetable preparations: homogenised vegetables, prepared or preserved otherwise than by vinegar or acetic acid, not frozen;container
200520;Vegetable preparations: potatoes, prepared or preserved otherwise than by vinegar or acetic acid, not frozen;container
200540;Vegetable preparations: peas (pisum sativum), prepared or preserved otherwise than by vinegar or acetic acid, not frozen;container
200551;Vegetable preparations: beans, shelled, prepared or preserved otherwise than by vinegar or acetic acid, not frozen;container
200559;Vegetable preparations: beans, (not shelled), prepared or preserved otherwise than by vinegar or acetic acid, not frozen;container
200560;Vegetable preparations: asparagus, prepared or preserved otherwise than by vinegar or acetic acid, not frozen;container
200570;Vegetable preparations: olives, prepared or preserved otherwise than by vinegar or acetic acid, not frozen;container
200580;Vegetable preparations: sweetcorn (zea mays var. saccharata), prepared or preserved otherwise than by vinegar or acetic acid, not frozen;container
200591;Vegetable preparations: bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid, not frozen;container
200599;Vegetable preparations: vegetables and mixtures of vegetables n.e.c. in heading no. 2005, prepared or preserved otherwise than by vinegar or acetic acid, not frozen;container
200600;Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised);container
200710;Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes: homogenised, cooked preparations, whether or not containing added sugar or other sweetening matter;container
200791;Jams, jellies, marmalades, purees and pastes: of citrus fruit, being cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter;container
200799;Jams, fruit jellies, marmalades, purees and pastes: of fruit or nuts n.e.c. in heading no. 2007, cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter;container
200811;Nuts: ground-nuts, whether or not containing added sugar, other sweetening matter or spirit;container
200819;Nuts and other seeds: whether or not containing added sugar, other sweetening matter or spirit (excluding ground-nuts except in mixtures);container
200820;Fruit: pineapples, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit;container
200830;Fruit: citrus, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit;container
200840;Fruit: pears, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit;container
